"","ALL","KM3_1","KM3_2","KM3_3","KM4_1","KM4_2","KM4_3","KM4_4","KM5_1","KM5_2","KM5_3","KM5_4","KM5_5","KM6_1","KM6_2","KM6_3","KM6_4","KM6_5","KM6_6"
"SEGMENT_SIZE",8950,1383,2415,5152,1058,1498,3440,2954,960,2668,1441,2627,1254,1396,685,2517,1150,1236,1966
"Monthly_Avg_PURCHASES",170.051771304778,353.901229788287,168.003157014928,121.659613390821,404.754387287188,167.721718192267,169.564574802188,87.7399933163074,422.834823266937,164.906712226793,148.654548345053,95.6560643788253,167.91956087083,149.755616550704,481.79006153482,164.433667798506,179.142771896406,167.340374618997,79.4261890960515
"Monthly_CASH_ADVANCE",690.297641971682,695.534594415182,817.643148666615,629.198631121988,702.460604083986,1028.96146719628,552.949795510582,674.146581621281,703.623979945003,471.196416804296,742.386591631763,669.97461731201,1128.97164006816,744.557519064553,733.066103874678,463.722547313431,646.021904423494,1132.3983628516,674.899338615858
"CASH_ADVANCE",841.040397647654,490.230849467462,2463.60289474845,174.635346140431,528.181122852552,3346.88660426135,477.843592319767,105.307325729519,547.235676257813,619.798051806597,299.1757572127,121.271222968786,3667.18687291587,312.686010169413,674.600123257664,642.254705254271,182.078246211739,3682.34197430502,127.864215569176
"CASH_ADVANCE_TRX",2.81536404844693,1.65424651352133,8.00984976612837,0.692138610287267,1.74152749224953,9.84945363538051,2.09897982587209,0.46716316858497,1.82253954854167,3.18202322586207,0.683411686606523,0.521468641111534,10.0506682135566,0.718978768338109,2.14444322043796,3.31642201311085,0.782254331130435,10.043562766343,0.541200406917599
"CASH_ADVANCE_FREQUENCY",0.124866906145251,0.0705564728850325,0.330481151552795,0.0430642909549689,0.073666095463138,0.371517876502003,0.117657979069767,0.0265209390656737,0.075792178125,0.168567776611694,0.0356514469118668,0.0293390677578987,0.372098903508772,0.0369712249283668,0.0850155839416058,0.17515292928089,0.0435378860869565,0.371589799352751,0.0292460940996948
"ONEOFF_PURCHASES",493.133225761475,2010.61329758872,169.312169772257,237.572843555901,2374.07505027817,219.191713865754,212.074148255814,285.675934326337,2506.25895124406,200.150307346327,195.660055517002,344.149836315188,229.270332831659,182.417478510029,2711.1298263965,154.387512912197,1241.46432998574,224.643737864078,105.710391658189
"ONEOFF_PURCHASES_FREQUENCY",0.189061207597765,0.561581073608098,0.0856960751138716,0.137514588858696,0.609567511720227,0.107792131909212,0.0989066452906977,0.184652642924848,0.624953947604167,0.102105820989505,0.080673827480916,0.214531648915112,0.11156145199362,0.0742462957020057,0.609342111824817,0.0782888199443782,0.624218258173913,0.111117693365696,0.0604299119532045
"PAYMENTS",1536.54696892212,3397.55586193565,2013.82045234948,813.256836640528,3843.79691183932,2642.93666038652,854.191998103779,943.743618277251,3996.80443089167,846.286040157047,927.001493323387,1036.56955823373,2869.5331592496,941.174072302292,4624.50590102044,826.642490479936,1599.4226715287,2879.09186804369,911.432886582909
"CREDIT_LIMIT",4343.61511076123,6848.79839347939,5236.72628245217,3252.47924903125,7267.75238185255,6599.59208641856,3039.39007267442,3671.0840981239,7396.978625,2869.88306471777,3641.45159225815,3817.67019213818,7050.2842148764,3636.92020534814,7863.58959124088,2820.47347900954,5413.36990513826,7104.59425198625,3207.46191842116
"LIMIT_USAGE",0.386650858785465,0.325656141877492,0.645066650064142,0.281891844333936,0.33202115981387,0.625301617303738,0.440379967812095,0.222626231229598,0.332120233236479,0.62213019341542,0.0419244484422841,0.246066787810459,0.618034947693099,0.0429968469257354,0.367130951205277,0.62332239094351,0.26159882227522,0.617157918296571,0.262700201225888
"PURCHASES_INSTALLMENTS_FREQUENCY",0.364437341564246,0.719814374548084,0.126104991304348,0.38075841867236,0.700742797731569,0.172554301068091,0.062823474127907,0.692528514895058,0.696972345833333,0.0753609786356822,0.184307106870229,0.722157860677579,0.182505919457735,0.178358336676218,0.761117127007299,0.070525519268971,0.398953245217391,0.18440129368932,0.827635693794507
"PURCHASES_FREQUENCY",0.490350548379888,0.916618400578453,0.203761851345756,0.510261896156832,0.911059403591682,0.264817911214953,0.162591486337209,0.835722618483412,0.910057928125,0.176780003373313,0.275918250520472,0.875231149980967,0.276317637958533,0.262387099570201,0.921224668613139,0.147381050854192,0.831321962608696,0.276524995954693,0.876166257375381
"INSTALLMENTS_PURCHASES",354.941795477944,1147.1706035081,102.083049223644,260.803874417857,1165.90568385898,155.109209279306,41.8118808139535,530.472034700203,1168.68515080396,47.9132571214393,120.016213653782,588.035096785459,166.86378917488,118.710031429155,1379.87627156321,44.546428287644,376.267277717826,168.47088319199,667.718147828535
"PURCHASES_TRX",13.0205304512179,42.3304924814172,4.22537283304348,9.27531076180124,44.8381079665406,5.95163603711616,2.91582125889535,16.9766599172647,45.851528044375,3.25165859467766,4.13324080499653,18.9877729619338,6.38275591244019,3.95845272206304,50.0030862035036,2.59992054032578,24.772829493913,6.34383164579288,17.2339286148525
"MINIMUM_PAYMENTS",721.925636838894,964.500397305206,1276.84826770116,396.689020523428,1006.10736418403,1511.22699335461,538.34031123061,433.671005999628,1023.37642694115,725.129101089993,230.354038221513,469.747641435402,1577.4971411551,234.038770774212,1239.65748414891,709.161622015534,444.08164151287,1585.49115869919,523.921763255443
"MIN_PAYMENTS_RATIO",6.25420478058577,11.290757229059,3.68229868249576,6.10777644026139,12.4515320551828,4.25179284423476,5.49700920466397,5.93179232469583,12.636680676204,2.27639321484498,14.0289611354644,4.81212804297548,3.91810915054198,14.1116847908892,13.2202371460646,2.27665216268271,7.1199520682716,3.89549357076029,4.31650556849572
